title,link,image,lprice,hprice,mall_name,product_id,brand,maker,category1,category2,category3,category4,search_keyword,capacity,brand_type,price_range,detailed_price
모슈 팝업 스트로우 텀블러 820ml,https://smartstore.naver.com/main/products/12133826482,https://shopping-phinf.pstatic.net/main_8967833/89678337187.jpg,46750,0,mosh,89678337187,모슈,,생활/건강,주방용품,잔/컵,텀블러,텀블러,820.0,기타/노브랜드,3-5만원,3-5만
"스탠리 스탠리1913 퀜처 프로투어 플립 스트로 텀블러 887ml, 로즈쿼츠",https://search.shopping.naver.com/catalog/55298512889,https://shopping-phinf.pstatic.net/main_5529851/55298512889.20250614135327.jpg,53000,0,네이버,55298512889,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,887.0,유명브랜드,5만원 이상,5만+
"스탠리 스탠리1913 퀜처 프로투어 플립 스트로 텀블러 591ml, 옐로우",https://search.shopping.naver.com/catalog/55814233563,https://shopping-phinf.pstatic.net/main_5581423/55814233563.20250716111210.jpg,48000,0,네이버,55814233563,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,유명브랜드,3-5만원,3-5만
"스타벅스 SS 스탠리 핑크 켄처 텀블러 1.183L, 1개",https://search.shopping.naver.com/catalog/53120926205,https://shopping-phinf.pstatic.net/main_5312092/53120926205.20250220095640.jpg,64500,0,네이버,53120926205,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,1183.0,기타/노브랜드,5만원 이상,5만+
"스타벅스 나수 하우스 텀블러 355ml, 1개",https://search.shopping.naver.com/catalog/52857497842,https://shopping-phinf.pstatic.net/main_5285749/52857497842.20250206172431.jpg,30000,0,네이버,52857497842,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,355.0,기타/노브랜드,2-3만원,2.5-3만
락앤락 메트로 스텐 머그텀블러 보온보냉 텀블러컵 뚜껑 손잡이 머그컵 355ml,https://smartstore.naver.com/main/products/5597797302,https://shopping-phinf.pstatic.net/main_8314229/83142293642.5.jpg,20900,0,탑 플레이스,83142293642,락앤락,락앤락,생활/건강,주방용품,잔/컵,텀블러,텀블러,355.0,유명브랜드,2-3만원,2-2.5만
스탠리 591 텀블러 퀜처 H2.0 플로우스테이트 차량용 텀블러,https://smartstore.naver.com/main/products/10205968585,https://shopping-phinf.pstatic.net/main_8775047/87750472093.3.jpg,42900,0,치포마켓,87750472093,스탠리,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,,유명브랜드,3-5만원,3-5만
텀블러 제작 스텐 보온보냉 핸들 파우더 이중진공 500ml 데이오프,https://smartstore.naver.com/main/products/8632598480,https://shopping-phinf.pstatic.net/main_8617709/86177098803.3.jpg,8500,0,에스앤에스기프트,86177098803,,,생활/건강,주방용품,잔/컵,텀블러,텀블러,500.0,기타/노브랜드,1만원 이하,~1만
락앤락 메트로 카페 세라믹 텀블러 750ml,https://search.shopping.naver.com/catalog/54923710660,https://shopping-phinf.pstatic.net/main_5492371/54923710660.20250523095114.jpg,33900,0,네이버,54923710660,락앤락,,생활/건강,주방용품,잔/컵,텀블러,텀블러,750.0,유명브랜드,3-5만원,3-5만
"스타벅스 SS 콩코드 사이렌 텀블러 591ml, 아이보리",https://search.shopping.naver.com/catalog/52340289622,https://shopping-phinf.pstatic.net/main_5234028/52340289622.20250107153434.jpg,28500,0,네이버,52340289622,스타벅스,스타벅스,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,기타/노브랜드,2-3만원,2.5-3만
오덴세 25년  X KBO 루프 텀블러 750ml (10개구단 선택),https://display.cjonstyle.com/p/item/2061809971?infl_cd=I0696&utm_medium=pcs&utm_source=naver,https://shopping-phinf.pstatic.net/main_5651509/56515090243.jpg,37240,0,CJ온스타일,56515090243,오덴세,,생활/건강,주방용품,잔/컵,텀블러,텀블러,750.0,기타/노브랜드,3-5만원,3-5만
"스탠리 클래식 진공 캠프 머그 354ml, 해머톤 그린",https://smartstore.naver.com/main/products/11648374905,https://shopping-phinf.pstatic.net/main_8919288/89192885371.jpg,35000,0,스탠리 코리아,89192885371,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,354.0,유명브랜드,3-5만원,3-5만
"스탠리 액티브 쉐이커 텀블러 591ml + 컨테이너 103ml, 아주르 블루",https://smartstore.naver.com/main/products/11834416612,https://shopping-phinf.pstatic.net/main_8937892/89378927206.jpg,62000,0,스탠리 코리아,89378927206,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,유명브랜드,5만원 이상,5만+
"스타벅스 사이렌 미니 콜드컵 300ml, 1개",https://search.shopping.naver.com/catalog/54414353930,https://shopping-phinf.pstatic.net/main_5441435/54414353930.20250425103433.jpg,13200,0,네이버,54414353930,스타벅스,스타벅스,생활/건강,주방용품,잔/컵,텀블러,텀블러,300.0,기타/노브랜드,1-2만원,1-1.5만
"락앤락 메트로 킹 텀블러 820ml, 아이보리",https://search.shopping.naver.com/catalog/53547363616,https://shopping-phinf.pstatic.net/main_5354736/53547363616.20250314122737.jpg,29900,0,네이버,53547363616,락앤락,락앤락,생활/건강,주방용품,잔/컵,텀블러,텀블러,820.0,유명브랜드,2-3만원,2.5-3만
"스탠리 아이스플로우 에어로라이트 캡 캐리 텀블러 473ml, 1개",https://search.shopping.naver.com/catalog/52650261440,https://shopping-phinf.pstatic.net/main_5265026/52650261440.20250124180808.jpg,40850,0,네이버,52650261440,스탠리,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,473.0,유명브랜드,3-5만원,3-5만
"스탠리 스탠리1913 퀜처 H2.0 플로우스테이트 텀블러 1.18L, 블랙",https://search.shopping.naver.com/catalog/54607965660,https://shopping-phinf.pstatic.net/main_5460796/54607965660.20250506114932.jpg,49000,0,네이버,54607965660,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,1180.0,유명브랜드,3-5만원,3-5만
"스탠리 아이스플로우 에어로라이트 캡 캐리 텀블러 710ml, 1개",https://search.shopping.naver.com/catalog/52650263870,https://shopping-phinf.pstatic.net/main_5265026/52650263870.20250124180841.jpg,43800,0,네이버,52650263870,스탠리,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,710.0,유명브랜드,3-5만원,3-5만
"스탠리 스탠리1913 아이스플로우 에어로라이트 패스트플로우 710ml, 트와일라잇",https://search.shopping.naver.com/catalog/55382223785,https://shopping-phinf.pstatic.net/main_5538222/55382223785.20250619170752.jpg,54000,0,네이버,55382223785,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,710.0,유명브랜드,5만원 이상,5만+
"스타벅스 SS 스탠리 그린페블 켄처 텀블러 1.183L, 1개",https://search.shopping.naver.com/catalog/53120926194,https://shopping-phinf.pstatic.net/main_5312092/53120926194.20250220095559.jpg,62000,0,네이버,53120926194,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,1183.0,기타/노브랜드,5만원 이상,5만+
